class_name,cbo,lcom,class_length,avg_method_length,avg_cyclomatic_complexity,dit,fan_in,fan_out,label,split
PBKDF2SHA1PasswordHasher,0,0.0,8,0.0,0.0,2,0,0,Clean,train
BCryptPasswordHasher,0,0.5,37,4.5,1.0,1,4,1,Clean,train
SHA1PasswordHasher,0,0.0,25,5.0,1.3333333333333333,1,3,6,Clean,train
MD5PasswordHasher,0,0.0,25,5.0,1.3333333333333333,1,3,6,Clean,train
UnsaltedMD5PasswordHasher,0,1.0,25,2.0,1.0,1,3,6,Clean,train
CryptPasswordHasher,0,0.5,32,4.25,1.0,1,4,1,Clean,train
GoogleMapException,0,0.0,1,0.0,0.0,0,1,0,Clean,train
GoogleMap,1,0.8666666666666667,133,9.9,2.5,0,1,2,Long Method,train
GoogleMapSet,0,0.4,78,13.2,1.6,1,1,1,Clean,train
BadHeaderError,0,0.0,1,0.0,0.0,0,0,0,Clean,train
SafeMIMEText,0,0.6666666666666666,21,5.0,1.0,0,3,4,Clean,train
SafeMIMEMultipart,0,0.6666666666666666,21,5.0,1.0,0,3,4,Clean,train
EmailMessage,2,0.8181818181818182,155,11.545454545454545,3.3636363636363638,0,3,3,God Class,train
EmailMultiAlternatives,1,0.5,40,6.5,2.25,1,3,7,Clean,train
WSGIServerException,0,0.0,1,0.0,0.0,0,1,0,Clean,train
ServerHandler,0,1.0,36,15.5,3.0,0,1,0,Clean,test
WSGIServer,1,1.0,14,4.5,2.0,0,1,2,Clean,test
WSGIRequestHandler,0,0.0,70,21.333333333333332,5.666666666666667,0,1,2,Clean,train
AdminMediaHandler,0,0.9,39,4.4,1.2,0,0,0,Clean,train
GeoFlexibleFieldLookupDict,0,0.0,14,0.0,0.0,0,0,0,Clean,train
SpatiaLiteIntrospection,0,0.0,31,28.0,5.0,0,0,0,Clean,train
Redirect,0,0.0,15,1.0,1.0,0,0,0,Clean,test
Trans,0,0.0,20,7.0,2.0,0,0,0,Clean,train
override,0,0.3333333333333333,16,3.6666666666666665,1.6666666666666667,0,0,0,Clean,train
WrappingLogFormatter,0,0.0,41,11.0,1.5,0,0,0,Clean,train
Session,0,1.0,29,9.0,2.0,0,1,0,Clean,train
DatastoreSessionFactory,0,0.0,37,7.5,3.0,0,0,2,Clean,train
Solr,3,0.8571428571428571,432,26.533333333333335,4.466666666666667,0,0,3,God Class,train
Schema,0,0.0,10,8.0,1.0,0,1,0,Clean,train
Index,0,0.0,10,8.0,1.0,0,1,0,Clean,train
Header,0,0.0,10,8.0,1.0,0,0,0,Clean,test
Field,0,0.0,28,16.0,1.0,0,1,0,Data Class,train
Results,0,0.0,7,4.0,1.0,0,0,0,Clean,train
CocoaConfig,1,0.0,40,38.0,6.0,0,0,1,Clean,train
CocoaCanvasConfig,1,0.6666666666666666,32,8.666666666666666,2.3333333333333335,0,2,2,Clean,train
CocoaContext,0,0.0,56,2.5,1.1,0,1,1,Clean,test
GdiplusStartupInput,0,0.0,6,0.0,0.0,0,0,0,Clean,train
GdiplusStartupOutput,0,0.0,4,0.0,0.0,0,0,0,Clean,train
BitmapData,0,0.0,8,0.0,0.0,0,1,0,Clean,train
Rect,0,0.0,6,0.0,0.0,0,1,0,Clean,train
PropertyItem,0,0.0,6,0.0,0.0,0,0,0,Clean,train
GDIPlusDecoder,2,1.0,134,17.142857142857142,2.2857142857142856,0,0,2,Feature Envy,train
UserProfileViewset,0,1.0,19,4.0,1.5,0,0,0,Clean,train
UserFollowViewset,0,1.0,47,7.5,1.75,0,0,0,Feature Envy,train
UserArgumentsView,0,1.0,23,6.5,2.0,0,0,0,Clean,train
PexpectLogger,0,0.0,17,15.0,3.0,0,0,0,Clean,train
Corpus,0,0.0,5,0.0,0.0,0,0,0,Clean,test
CLI,0,0.6666666666666666,92,28.333333333333332,2.6666666666666665,0,0,0,Feature Envy,test
ProtocolArgument,0,0.0,17,15.0,8.0,0,0,0,Clean,train
PortArgument,0,0.0,21,19.0,6.0,0,0,0,Clean,train
