class_name,cbo,lcom,class_length,avg_method_length,avg_cyclomatic_complexity,dit,fan_in,fan_out,atfd,fdp,fdp_concentration,label,split
Meta,0,0.0,3,0.0,0.0,0,0,0,0,0,0.0,Clean,train
Meta,0,0.0,3,0.0,0.0,0,0,0,0,0,0.0,Clean,train
GoogleMapException,0,0.0,2,0.0,0.0,0,1,0,0,0,0.0,Clean,test
GoogleMap,1,0.8666666666666667,134,10.9,2.5,0,1,2,2,2,0.5,Long Method,train
GoogleMapSet,0,0.4,79,14.2,1.6,1,1,1,5,3,0.6,Clean,train
PermLookupDict,0,0.0,10,9.0,1.0,0,1,1,0,0,0.0,Clean,train
PermWrapper,0,0.0,10,9.0,1.0,0,1,1,0,0,0.0,Clean,train
BadHeaderError,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,test
SafeMIMEText,0,0.6666666666666666,22,6.0,1.0,0,3,4,2,2,0.5,Clean,train
SafeMIMEMultipart,0,0.6666666666666666,22,6.0,1.0,0,3,4,2,2,0.5,Clean,train
EmailMessage,2,0.8181818181818182,156,12.545454545454545,3.3636363636363638,0,3,3,9,7,0.2222,God Class,test
EmailMultiAlternatives,1,0.5,41,7.5,2.25,1,3,7,2,2,0.5,Clean,test
WSGIServerException,0,0.0,2,0.0,0.0,0,1,0,0,0,0.0,Clean,train
ServerHandler,0,1.0,37,16.5,3.0,0,1,0,0,0,0.0,Clean,test
WSGIServer,1,1.0,15,5.5,2.0,0,1,2,1,1,1.0,Clean,train
WSGIRequestHandler,0,0.0,71,22.333333333333332,5.666666666666667,0,1,2,4,4,0.25,Clean,train
AdminMediaHandler,0,0.9,40,5.4,1.2,0,0,0,4,4,0.25,Clean,train
GeoFlexibleFieldLookupDict,0,0.0,15,0.0,0.0,0,0,0,0,0,0.0,Clean,train
SpatiaLiteIntrospection,0,0.0,32,29.0,5.0,0,0,0,4,2,0.75,Clean,test
Redirect,0,0.0,16,2.0,1.0,0,0,0,0,0,0.0,Clean,train
Meta,0,0.0,6,0.0,0.0,0,0,0,0,0,0.0,Clean,train
Trans,0,0.0,21,8.0,2.0,0,0,0,1,1,1.0,Clean,test
override,0,0.3333333333333333,17,4.666666666666667,1.6666666666666667,0,0,0,0,0,0.0,Clean,train
WrappingLogFormatter,0,0.0,42,12.0,1.5,0,0,0,1,1,1.0,Clean,train
Session,0,1.0,30,10.0,2.0,0,1,0,4,3,0.5,Clean,train
DatastoreSessionFactory,0,0.0,38,8.5,3.0,0,0,2,1,1,1.0,Clean,train
PickleProperty,0,1.0,15,3.3333333333333335,1.3333333333333333,0,0,0,2,1,1.0,Clean,test
Solr,3,0.8571428571428571,433,27.533333333333335,4.466666666666667,0,0,3,63,24,0.1111,God Class,train
Schema,0,0.0,11,9.0,1.0,0,1,0,0,0,0.0,Clean,train
Index,0,0.0,11,9.0,1.0,0,1,0,0,0,0.0,Clean,train
Header,0,0.0,11,9.0,1.0,0,0,0,0,0,0.0,Clean,train
Field,0,0.0,29,17.0,1.0,0,1,0,0,0,0.0,Data Class,test
Results,0,0.0,8,5.0,1.0,0,0,0,0,0,0.0,Clean,test
CocoaConfig,1,0.0,41,39.0,6.0,0,0,1,2,2,0.5,Clean,train
CocoaCanvasConfig,1,0.6666666666666666,33,9.666666666666666,2.3333333333333335,0,2,2,4,4,0.25,Clean,train
CocoaContext,0,0.0,57,3.5,1.1,0,1,1,1,1,1.0,Clean,test
GdiplusStartupInput,0,0.0,7,0.0,0.0,0,0,0,0,0,0.0,Clean,train
GdiplusStartupOutput,0,0.0,5,0.0,0.0,0,0,0,0,0,0.0,Clean,train
BitmapData,0,0.0,9,0.0,0.0,0,1,0,0,0,0.0,Clean,train
Rect,0,0.0,7,0.0,0.0,0,1,0,0,0,0.0,Clean,train
PropertyItem,0,0.0,7,0.0,0.0,0,0,0,0,0,0.0,Clean,train
GDIPlusDecoder,2,1.0,135,18.142857142857142,2.2857142857142856,0,0,2,29,11,0.4138,Clean,train
timeval,0,0.0,5,0.0,0.0,0,0,0,0,0,0.0,Clean,train
input_event,0,0.0,7,0.0,0.0,0,0,0,0,0,0.0,Clean,train
input_id,0,0.0,7,0.0,0.0,0,0,0,0,0,0.0,Clean,train
input_absinfo,0,0.0,8,0.0,0.0,0,0,0,0,0,0.0,Clean,train
